answer,correct,label,,,,,,,
rQIJGO7+7i@(BHM?hBu,c ) 31,Wrong,,,,,,,
"a) 1827, b) 1306, c) 2243, d) 2610, e) 1176",d ) 48,Wrong,,,          ,,,,
.?xwbc:H]5V4[x7ytj3/,d ) 15,Wrong,,,          ,,,     ,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,a ) 42,Wrong,,,,,,     ,
"a ) 2424 , b ) 2160 , c ) 2893 , d ) 1402 , e ) 90",d ) 1402,Wrong,,,          ,,,     ,
MRDmHz`YFhXI_pT,d ) 61,Wrong,,,     ,,,     ,     
hook hook hook hook hook hook hook hook hook hook ,b ) 27,Wrong,,,          ,,,     ,     
1Ft?rDbvb^Trm=x4>7,d ) 62,Wrong,,,     ,,,     ,     
CK2>Id;:TDH;c,c ) 38,Wrong,,,     ,,,     ,     
hello hello hello hello hello hello hello hello hello hello ,a ) 23,Wrong,,,,,,     ,     
a?896>zo&W.k17;.W1cIB/Q,a ) 19,Wrong,,,,,,     ,
fh68HnO*Dy/N[J)vwt,d ) 60,Wrong,,,,,,     ,
fish fish fish fish fish fish fish fish fish fish ,b ) 59,Wrong,,,,,,     ,
>C[)+;KBs7VwA8'Zijg,d ) 63,Wrong,,,,,,     ,
2IZ>=(g>cw:q8v(R?:0NI,b ) 40,Wrong,,,,,,     ,
"dXdAmUouzl@oM3,n:+q2C''gP(Lax",a ) 46,Wrong,,,,,,     ,
hook hook hook hook hook hook hook hook hook hook ,b ) 50,Wrong,,,,,,,
WLW4IHbhm_3L@&]a.\dz6YoZCp?,d ) 13,Wrong,,,,,,,
"=foi',Dgjy4,\v?`+ve",b ) 58,Wrong,,,,,,,
"a ) 582 , b ) 1286 , c ) 1679 , d ) 1775 , e ) 797",a ) 582,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,d ) 68,Wrong,,,,,,,
kMiRY.Ylb+&KoB5/B^,a ) 52,Wrong,,,,,,,
SSQY@5Ar31LRVIq5)dGJlFMdu,a ) 61,Wrong,,,,,,,
E_)Ji`N-<=:B*s*,a ) 52,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,b ) 18,Wrong,,,,,,,
D0?f]8<q=ESBu/0-5,c ) 5,Wrong,,,,,,,
XC-Y)'U6S<CmCUK,a ) 29,Wrong,,,,,,,
"a ) 375 , b ) 478 , c ) 2463, d ) 1773, e ) 838",b ) 478,Wrong,,,,,,,
Be8B<OTl:=L\,c ) 19,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,c ) 56,Wrong,,,,,,,
NsBj]Wj1IlXg90,b ) 53,Wrong,,,,,,,
"-kCge>u<z,V,?5SNsB",a ) 59,Wrong,,,,,,,
"a ) 2330 , b ) 607 , c ) 1989 , d ) 2527 , e ) 2757",a ) 2330,Wrong,,,,,,,
hook hook hook hook hook hook hook hook hook hook ,d ) 45,Wrong,,,,,,,
cDdm&iHWXU].9Ew76P,c ) 69,Wrong,,,,,,,
]Wj1IlXg90`c,d ) 63,Wrong,,,,,,,
is is is is is is is is is is ,d ) 33,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,d ) 48,Wrong,,,,,,,
ZMv:-hKOpJQhbF\11^l+YyW*GqGZPn,d ) 2,Wrong,,,,,,,
"a ) 2493 , b ) 249 , c ) 1632 , d ) 1548 , e ) 1764",c ) 1632,Wrong,,,,,,,
7\+SF@So2UAPwoJM-N,b ) 45,Wrong,,,,,,,
is is is is is is is is is is ,a ) 51,Wrong,,,,,,,
"a ) 1905 , b ) 717 , c ) 1061 , d ) 516 , e ) 181",e ) 181,Wrong,,,,,,,
:-hKOpJQhbF\11^,d ) 39,Wrong,,,,,,,
hook hook hook hook hook hook hook hook hook hook ,b ) 21,Wrong,,,,,,,
